Company,Year,lq_pay,m_pay,uq_pay
4imprint,2022,16083,21444,29692
888 Holdings,2021,63126,81693,109914
abrdn,2022,48000,69000,107000
abrdn,2023,54949,79370,112789
Admiral Group,2024,29804,33925,50147
Admiral Group,2021,25470,29881,48071
Admiral Group,2023,27382,32050,48397
Admiral Group,2022,26775,31144,47648
Admiral Group,2020,27431,33015,48419
Admiral Group,2019,24319,27980,40371
Aggreko,2020,34677,48927,70710
Aggreko,2019,34875,50513,72890
AJ Bell,2023,26558,33430,58796
AJ Bell,2022,24331,30052,51731
AJ Bell,2021,22823,28380,46996
AJ Bell,2020,22026,27511,44197
Anglo American,2024,68148,113308,199626
Anglo American,2021,53027,84452,150876
Anglo American,2020,49805,74193,126812
Anglo American,2023,60088,101277,189059
Anglo American,2022,58523,98541,173168
AO World,2024,25383,29828,40771
AO World,2021,21114,26218,37533
Ascential,2023,43000,61000,90000
Ascential,2022,22665,41600,67410
Ascential,2021,20285,41197,66915
Ascential,2020,23275,40167,64914
Ascential,2019,34854,51416,77858
Ashtead,2021,21143,24763,28297
Ashtead,2020,20566,23199,32041
Ashtead,2024,24536,38966,48939
Ashtead,2023,25719,31403,53664
Ashtead,2022,24819,31114,35885
ASOS,2023,31035,49832,77452
ASOS,2022,28032,47668,71593
ASOS,2021,27531,54272,75140
Associated British Foods,2021,19775,21888,29422
Associated British Foods,2020,14175,16492,24026
Associated British Foods,2024,25665,27709,32868
Associated British Foods,2023,20957,24655,31390
Associated British Foods,2022,20049,22078,27012
Aston Martin,2023,49000,49000,49000
Aston Martin,2022,44000,52000,63000
Aston Martin,2021,39000,45000,55000
Aston Martin,2020,37000,43000,50000
Aston Martin,2019,40000,47000,57000
AstraZeneca,2019,51000,75000,117000
AstraZeneca,2024,64000,96000,144000
AstraZeneca,2021,58000,86000,130000
AstraZeneca,2020,54000,78000,119000
AstraZeneca,2023,62000,92000,139000
AstraZeneca,2022,67000,96000,143000
Auto Trader,2022,35938,49910,70608
Auto Trader,2021,32855,48025,67213
Auto Trader,2020,32119,47379,65196
Auto Trader,2024,39283,54173,78143
